PLAYER,TEAM,AGE,GP,G,FREQ,FGM,FGA,FG%,EFG%,2FG FREQ,2FGM,2FGA,2FG%,3FG FREQ,3PM,3PA,3P%
Luka Doncic,DAL,25,57,57,100,11.7,23.6,49.3,57.6,56.5,7.8,13.3,58.1,43.5,3.9,10.3,38
Joel Embiid,PHI,30,34,34,100,11.8,22.2,53.3,56,85.1,10.6,18.9,56.3,14.9,1.2,3.3,36.8
De'Aaron Fox,SAC,26,57,57,100,9.9,20.9,47.4,53.9,64.1,7.2,13.4,53.6,35.9,2.7,7.5,36.3
Donovan Mitchell,CLE,27,48,48,100,9.6,20.4,47,55.3,55.3,6.2,11.3,54.8,44.7,3.4,9.1,37.4
Jalen Brunson,NYK,27,61,61,100,9.6,20.2,47.5,54,67.4,7,13.6,51.2,32.6,2.6,6.6,39.9
Shai Gilgeous-Alexander,OKC,25,65,65,100,11,20.1,54.4,57.7,82.5,9.7,16.6,58,17.5,1.3,3.5,37.5
Tyrese Maxey,PHI,23,57,57,100,9,20.1,45,52.7,59.9,6,12,49.5,40.1,3.1,8.1,38.4
Anthony Edwards,MIN,22,63,63,100,9.3,20,46.3,52.5,66.3,6.8,13.3,51.2,33.7,2.5,6.8,36.7
Kyrie Irving,DAL,31,44,44,100,9.6,19.6,49.2,56.8,63.6,6.7,12.4,53.7,36.4,3,7.1,41.5
Devin Booker,PHX,27,52,52,100,9.5,19.4,49.1,54.6,69.8,7.4,13.5,54.5,30.2,2.1,5.8,36.4
Kevin Durant,PHX,35,59,59,100,10.1,19.3,52.2,57.9,72.8,7.9,14.1,56.3,27.2,2.2,5.3,41.7
Jayson Tatum,BOS,26,62,62,100,9.2,19.3,47.6,55.6,56.8,6.1,10.9,55.3,43.2,3.1,8.3,37.3
LaMelo Ball,CHA,22,22,22,100,8.3,19.2,43.3,51.5,53.4,5.1,10.3,50,46.6,3.2,8.9,35.5
Stephen Curry,GSW,36,59,59,100,8.6,19.2,44.8,57.3,38.7,3.8,7.4,51.2,61.3,4.8,11.8,40.8
Trae Young,ATL,25,51,51,100,8.2,19.1,42.8,51.4,53.8,4.9,10.3,47.5,46.2,3.3,8.8,37.3
Ja Morant,MEM,24,9,9,100,8.9,18.9,47.1,51.2,70,7.3,13.2,55.4,30,1.6,5.7,27.5
Desmond Bane,MEM,25,37,37,100,8.9,18.8,47.4,56.3,54,5.6,10.2,55,46,3.3,8.7,38.4
Kyle Kuzma,WAS,28,64,64,100,8.7,18.8,46.5,52.5,64.6,6.5,12.1,53.6,35.4,2.2,6.7,33.5
Giannis Antetokounmpo,MIL,29,64,64,100,11.4,18.6,61.6,63,90.5,10.9,16.8,65,9.5,0.5,1.8,29.4
Anfernee Simons,POR,24,41,41,100,8,18.5,42.9,52.1,52.2,4.5,9.7,46.9,47.8,3.4,8.8,38.5
Cade Cunningham,DET,22,55,55,100,8.2,18.3,44.7,50,70.3,6.3,12.9,48.6,29.7,1.9,5.4,35.5
Dejounte Murray,ATL,27,63,63,100,8.4,18.2,46.5,53.1,63.7,6,11.6,52.3,36.3,2.4,6.6,36.4
Tyler Herro,MIA,24,35,36,100,8,18.1,44.2,53.4,54.8,4.7,9.9,47.3,45.2,3.3,8.2,40.5
Miles Bridges,CHA,25,55,55,100,8.2,18,45.6,52.2,63.2,5.8,11.4,51.4,36.8,2.4,6.6,35.5
Julius Randle,NYK,29,46,46,100,8.5,18,47.3,51.9,70.6,6.8,12.7,53.9,29.4,1.6,5.3,31.2
Jaylen Brown,BOS,27,59,59,100,9,17.9,50.2,56,67.2,6.9,12,57.6,32.8,2.1,5.9,35.3
LeBron James,LAL,39,57,57,100,9.3,17.7,52.5,58.4,69.8,7.2,12.4,58.1,30.2,2.1,5.3,39.4
Nikola Jokic,DEN,29,63,63,100,10.2,17.6,57.8,60.6,83.1,9.1,14.6,62.5,16.9,1,3,34.3
Paolo Banchero,ORL,21,65,65,100,8.1,17.5,46.1,50.3,76.5,6.6,13.4,49,23.5,1.5,4.1,36.2
Damian Lillard,MIL,33,62,62,100,7.3,17.4,42.3,51,50.7,4.3,8.8,49.3,49.3,3,8.6,35.3
Jaren Jackson Jr.,MEM,24,57,57,100,7.7,17.3,44.4,49.7,67.4,5.9,11.7,50.2,32.6,1.8,5.7,32.6
Cam Thomas,BKN,22,49,49,100,7.6,17.2,44,50,67.8,5.5,11.7,47.3,32.2,2.1,5.5,37.1
Kawhi Leonard,LAC,32,59,59,100,8.8,16.9,52.4,58.6,70.5,6.8,11.9,56.6,29.5,2.1,5,42.2
Anthony Davis,LAL,31,62,62,100,9.3,16.8,55.5,56.4,93.3,9,15.7,57.4,6.7,0.3,1.1,28.3
Paul George,LAC,33,59,59,100,7.7,16.7,45.9,55.7,51.3,4.4,8.6,51.5,48.7,3.3,8.1,39.9
DeMar DeRozan,CHI,34,64,64,100,7.8,16.6,47.3,50.3,82.4,6.8,13.6,50.1,17.6,1,2.9,34.2
Mikal Bridges,BKN,27,64,64,100,7.4,16.6,44.4,52.2,57.5,4.8,9.5,50.2,42.5,2.6,7,36.6
Jamal Murray,DEN,27,49,49,100,7.8,16.5,47.3,54.3,65.6,5.5,10.8,51,34.4,2.3,5.7,40.4
Terry Rozier,MIA,29,49,49,100,7.3,16.5,44.4,51.1,60,5.1,9.9,51.6,40,2.2,6.6,33.4
Nikola Vucevic,CHI,33,61,61,100,7.7,16.1,47.6,51.2,74,6.5,11.9,54.6,26,1.2,4.2,27.6
Brandon Ingram,NOP,26,59,59,100,8,16.1,49.4,53.7,76.3,6.5,12.3,53.2,23.7,1.4,3.8,37
Lauri Markkanen,UTA,26,51,51,100,7.8,16,48.3,58.3,50,4.5,8,56.5,50,3.2,8,40.1
Victor Wembanyama,SAS,20,59,59,100,7.5,16,46.5,51.8,68.2,5.8,10.9,52.7,31.8,1.7,5.1,33.1
Jerami Grant,POR,30,54,54,100,7.1,15.7,45.1,51.6,67.5,5,10.6,47.4,32.5,2.1,5.1,40.3
Pascal Siakam,IND,29,65,65,100,8.3,15.7,53.3,56.9,78.5,7.2,12.3,58.6,21.5,1.1,3.4,33.8
Scottie Barnes,TOR,22,60,60,100,7.4,15.7,47.4,52.8,68.5,5.7,10.7,53.5,31.5,1.7,4.9,34.1
Jalen Green,HOU,22,66,66,100,6.5,15.6,41.7,48.6,56.2,4.3,8.8,49.3,43.8,2.2,6.8,31.8
Franz Wagner,ORL,22,59,59,100,7.5,15.6,47.8,52.3,69.1,6,10.8,55.9,30.9,1.4,4.8,29.4
Alperen Sengun,HOU,21,63,63,100,8.3,15.6,53.6,55.3,88.7,7.8,13.8,56.6,11.3,0.5,1.8,29.5
Karl-Anthony Towns,MIN,28,60,60,100,7.9,15.5,50.6,57.8,66,5.6,10.3,54.9,34,2.2,5.3,42.2